# ^GSPC,^DJI,^TNX,^IXIC,^RUT
-4.485681749411472266e-04,3.368715559741218644e-03,2.368993389977534433e-03,-3.302358898798877368e-03,6.098346253819434369e-03
7.764562886999721095e-03,1.492837953677497167e-04,-1.499270025080239217e-02,1.844751874105983805e-02,-5.433023087055462164e-03
-1.944565317062887759e-03,2.417654988087683516e-05,6.645269479721338697e-03,-2.939548680755555386e-03,-3.677638781866433143e-03
1.210178296973241432e-02,1.418630401640382128e-03,-2.572250062561707434e-02,1.965375637887739266e-02,3.996844850088543226e-03
6.079579184244890064e-03,6.718168631376008823e-03,-1.240887700072332289e-02,3.224352745576101933e-03,1.068229503848254838e-02
-6.514611115772876541e-04,-6.596055453364562011e-03,2.781904989759032953e-03,1.230139252170710240e-02,-7.937935877452548250e-03
-1.384703954321956504e-02,-3.257947443846430282e-03,2.779256332133701879e-02,-2.425197495130749711e-02,-1.428130643925743133e-02
3.705351124746561562e-03,1.209626519470777912e-03,1.173812895790126397e-02,8.422388887999324517e-03,3.956603585217220113e-04
8.252400001638914712e-03,5.962515969597653731e-03,-1.548061667327888316e-02,7.907800779069870667e-03,1.078228043686091072e-03
2.845118157371105916e-05,1.928380673057941295e-04,1.318718487842622880e-04,1.638615924357162161e-03,3.059979090918697915e-03
-2.728169449503241393e-03,-1.525897765061106715e-03,8.828002101236924817e-03,-3.511334903031485162e-03,-6.983982980382636742e-03
1.245135000386152907e-02,5.400211609687026806e-03,-1.466009801806130927e-02,1.189564406200663629e-02,1.095210991688531747e-02
-1.156408577614253565e-02,-8.015895118007250117e-03,2.300338370637571017e-02,-1.625826437926176232e-02,-7.890799953542708758e-03
9.858432852345616268e-03,5.690260284619218754e-04,6.665121577808228760e-03,1.969943262231635059e-02,6.389276852340650906e-04
1.059145564227853510e-03,1.032377984817659487e-02,7.242410356347075669e-04,1.245170476098311774e-02,-7.835362467883388513e-03
-3.762161906454927155e-03,8.047839463555431228e-03,9.824135580654593317e-03,-1.517119301328322296e-02,1.602905961904309848e-03
