# ^GSPC,^DJI,^TNX,^IXIC,^RUT
1.159753429460717161e-02,1.159268503540515811e-02,-1.975698588546837692e-02,8.274294497154379910e-03,3.525654056736210462e-02
-1.011772450600665826e-02,-7.954023097716736782e-03,-5.808152998101012016e-02,-1.161359384605986124e-02,1.270254119001619064e-03
5.520920391258238823e-03,2.034214344006439121e-03,-4.637029991126335820e-04,5.589849728577745043e-03,-8.971756071609977498e-03
1.612864777405208228e-03,3.186084575883535355e-03,-9.891102457125426628e-03,2.718731194935059686e-03,5.742811763442136341e-03
-1.345276522056039134e-02,-5.538061359920599773e-03,-3.478541615155586984e-03,-1.868352407340453936e-02,-1.294402657090790686e-02
2.194398419567500716e-03,5.886684459012649605e-03,-6.827764967684629531e-03,1.768378588217657229e-03,1.893571516577049335e-02
1.302741643446785058e-03,3.081750257181234279e-04,-7.711052343019162043e-03,2.828041952262182624e-03,6.965508428013641486e-03
1.393679957526090807e-02,6.875201059651154731e-03,-8.576424382461837401e-03,2.324712776118075669e-02,2.680725663433432271e-02
-1.687157104110997927e-03,4.438978466233066585e-03,-9.298536699297525743e-03,-6.785235658593985475e-03,-9.379916769268404264e-04
2.722697738406332658e-03,1.671543034263748683e-03,1.259513375929599034e-02,3.465578305217458920e-03,3.060331949070537339e-03
-1.018826678097540405e-04,1.718655944340544703e-03,8.973536681746146354e-03,-2.424456468539265292e-03,1.046973462849478016e-02
-8.517715246323879618e-04,-2.459815152892499187e-03,1.266056562345447417e-02,1.977272843941241948e-03,1.299671917417105291e-02
-3.025505998562095806e-03,-5.325321924654917351e-04,-3.055139361247609722e-02,-4.100818816498371516e-03,-2.101536768441987328e-03
1.020899202159151684e-02,2.970403604877076744e-03,6.558093699677756787e-03,1.589237557898314293e-02,-2.997321667142110926e-03
8.322594873178289004e-04,-2.872096636734296020e-04,-1.859138361567226659e-03,2.662112533431538856e-03,7.173958696131674251e-03
4.600811492364611545e-03,1.989401677671769411e-03,1.608712611572180387e-02,5.534002212754813438e-03,1.389751958807610918e-02
5.200454392903278676e-03,2.948379408425917756e-03,-2.446231473551893545e-03,3.098023936860731450e-03,1.515894201376486502e-03
1.015367608045481852e-02,6.203994770180285001e-03,-1.672935178540839798e-02,1.585241340067081173e-02,3.487435804516274274e-02
-1.572983360759457050e-02,-1.008706365137787900e-02,9.030182837915753588e-03,-2.485070278225562368e-02,-2.723356382861745126e-02
-1.564577777710232306e-02,-1.502678839129213857e-02,-1.049992785290191320e-02,-1.810281748621632436e-02,-2.936132618949357717e-02
6.739290417943678141e-03,5.927018322303853788e-03,4.728881549983359194e-04,1.159124749198346335e-02,3.975601514444947844e-04
-1.204450960149598161e-02,-8.020359125946579029e-03,9.356275013603785468e-03,-1.533758154295921522e-02,-3.065061238254361553e-02
-2.585308234294824217e-02,-1.809496867131714370e-02,6.505346881598367617e-03,-3.461066678213268327e-02,-2.831048234339239578e-02
8.920909970939486233e-03,1.437969011118396707e-02,6.151082831729955298e-03,9.216374210732200187e-03,9.814722258508296049e-03
3.943547181187798643e-03,7.836138217658779543e-04,-1.689001687355206477e-02,8.211040363005656095e-03,5.580161583214530638e-03
-3.889156709332752641e-03,2.624666079128741645e-03,2.226140387721475301e-03,-1.534153409587524566e-02,1.043918430083894296e-03
-2.870739127587460752e-03,-4.190000435415215316e-03,-3.474044826294569316e-02,-8.168020272145807420e-03,-6.252008652841306059e-03
1.667042979121571844e-02,8.385773846466068257e-03,-3.048915903476189654e-02,2.425977061073489663e-02,3.562397964356155133e-02
3.828682521265224046e-03,5.020881905919891662e-03,-1.052016352725328695e-02,3.708667457644020896e-03,2.790481682434542074e-02
